Title,Author,Language Level
The Shrinking of Treehorn,Florence Parry Heide,level_C1
Action Jackson,"Jan Greenberg and, Sandra Jordan",level_C1
"Star of Fear, Star of Hope",Jo Hoestlandt,level_C1
The Rough-Face Girl,Rafe Martin,level_C1
Judy Moody Gets Famous,Megan McDonald,level_C1
A New Coat for Anna,Harriet Ziefert,level_C1
Bunnicula,Deborah and James Howe,level_C1
Knights in Shining Armor,Gail Gibbons,level_C1
The Orchestra,Mark Rubin,level_C1
Liang and the Magic Paintbrush,Demi,level_C2
My Diary from Here to There ,Amada Irma Perez ,level_C2
When Jessie Came Across the Sea,Amy Hest ,level_C2
Maple Moon,Connie Brummel Crook & Scott Cameron ,level_C2
Kate Shelley and the Midnight Express ,Margaret K.Wetterer ,level_C2
Charlotte's Web,E.B. White ,level_C2
Frindle,Andrew Clements ,level_C2
Joyful Noise: Poems for Two Voices,Paul Fleischman ,level_C2
McBroom's Wonderful One-Acre Farm,Sid Fleischman ,level_C2
Cinderella,Charles Perrault ,level_C2
Mr. Popper's Penguins ,Richard and Florence Atwater ,level_C2
One Day in the Prairie ,Jean Craighead George ,level_C2
The Chalk Box Kid ,Clyde Robert Bulla ,level_C2
Stone Fox ,John Reynolds Gardiner ,level_C2
Old Mother West Wind ,Thornton W. Burgess ,level_C2
Jacob Have I Loved,Katherine Paterson,level_H
The Secret Garden,Frances Hodgson Burnett,level_H
The Hobbit,J.R.R. Tolkien,level_H
Kidnapped,Robert Louis Stevenson,level_H
The Old Man and the Sea,Ernest Hemingway,level_H
King of the Wind,MargueriteHenry,level_H
"Fever, 1793",Laurie Halse Anderson,level_H
"Cry, the Beloved Country",Alan Paton,level_H
The Extraordinary Adventures of Arsene Lupin,Maurice Leblanc,level_H
The Story of My Life,Helen Keller,level_H
So Much to Tell You,John Marsden,level_H
Around the World in Eighty Days,Jules Verne,level_H
Shipwreck at the Bottom of the World,Jennifer Armstrong,level_H
"Roll of Thunder, Hear My Cry",Mildred D. Taylor,level_H
Daddy-Long-Legs,Jean Webster,level_H
Fahrenheit 451,Ray Bradbury,level_I
Code Talker,Joseph Bruchac,level_I
The Time Machine,H.G. Wells,level_I
The Color of Magic,Terry Pratchett,level_I
Watership Down,Richard Adams,level_I
Jane Eyre,Charlotte Brontë,level_I
The Beekeeper's Apprentice,Laurie R. King,level_I
The Hound of the Baskervilles,Sir Arthur Conan Doyle,level_I
David Copperfield,Charles Dickens,level_I
Frankenstein,Mary Shelley,level_I
To Kill a Mockingbird,Harper Lee,level_I
archy and mehitabel,Don Marquis,level_I
"I, Juan de Pareja",Elizabeth Borton de Trevino,level_I
Across Five Aprils,Irene Hunt,level_I
Farewell to Manzanar,"Jeanne Wakatsuki Houston,& James D. Houston",level_I
The Spy Who Came In from the Cold,John Le Carre,level_K
Great Tales and Poems of Edgar Allan Poe,Edgar Allan Poe,level_K
Lyrical Ballads,William Wordsworth and Samuel Taylor Coleridge,level_K
Hamlet,William Shakespeare,level_K
Ethan Frome,Edith Wharton,level_K
King Oedipus,Sophocles,level_K
